itemid,                    name, sell_single, buy_single, price_single, stock_single, sell_stacks, buy_stacks, price_stacks, stock_stacks
   115,           bastokan_tree,           1,          1,         2015,           25,           0,          1,            1,           50
   116,        windurstian_tree,           1,          1,         2015,           25,           0,          1,            1,           50
   120,             f._aquarium,           1,          1,         2647,           25,           0,          1,            1,           50
   121,             s._aquarium,           1,          1,         3720,           25,           0,          1,            1,           50
   122,                amir_bed,           1,          1,         2091,           25,           0,          1,            1,           50
   123,              athenienne,           1,          1,         1367,           25,           0,          1,            1,           50
   124,                wardrobe,           1,          1,         2594,           25,           0,          1,            1,           50
   125,               reliquary,           1,          1,         1906,           25,           0,          1,            1,           50
   126,            falsiam_vase,           1,          1,         1879,           25,           0,          1,            1,           50
   127,            coffee_table,           1,          1,         2514,           25,           0,          1,            1,           50
   128,                 console,           1,          1,         1431,           25,           0,          1,            1,           50
   130,              marble_bed,           1,          1,         9625,           25,           0,          1,            1,           50
   132,           tableware_set,           1,          1,         2345,           25,           0,          1,            1,           50
   133,                 tea_set,           1,          1,         2478,           25,           0,          1,            1,           50
   135,          magic_tome_set,           1,          1,           16,           25,           0,          1,            1,           50
   139,              star_globe,           1,          1,        13430,           25,           0,          1,            1,           50
   143,                   ngoma,           1,          1,         2011,           25,           0,          1,            1,           50
   144,                 caisson,           1,          1,          602,           25,           0,          1,            1,           50
   145,                thurible,           1,          1,         1918,           25,           0,          1,            1,           50
   146,          walahra_burner,           1,          1,         2461,           25,           0,          1,            1,           50
   147,       imperial_tapestry,           1,          1,         2488,           25,           0,          1,            1,           50
   148,              cartonnier,           1,          1,         6800,           25,           0,          1,            1,           50
   149,        alchemists_tools,           1,          1,         2356,           25,           0,          1,            1,           50
   150,             leather_pot,           1,          1,         2435,           25,           0,          1,            1,           50
   152,               flowerpot,           1,          1,           50,           25,           0,          1,            1,           50
   185,             rook_banner,           1,          1,         2435,           25,           0,          1,            1,           50
   186,           shield_plaque,           1,          1,         2223,           25,           0,          1,            1,           50
   187,          buckler_plaque,           1,          1,        10000,           25,           0,          1,            1,           50
   188,          acolytes_grief,           1,          1,         5204,           25,           0,          1,            1,           50
   189,             autumns_end,           1,          1,         6000,           25,           0,          1,            1,           50
   194,       blacksmith_plaque,           1,          1,          608,           25,           0,          1,            1,           50
   195,             the_big_one,           1,          1,         2488,           25,           0,          1,            1,           50
   200,            tsahyan_mask,           1,          1,         8250,           25,           0,          1,            1,           50
   201,              totem_pole,           1,          1,         3922,           25,           0,          1,            1,           50
   206,           ancient_blood,           1,          1,          194,           25,           0,          1,            1,           50
   207,               fire_lamp,           1,          1,         3728,           25,           0,          1,            1,           50
   208,                ice_lamp,           1,          1,         2057,           25,           0,          1,            1,           50
   209,               wind_lamp,           1,          1,         2798,           25,           0,          1,            1,           50
   210,              earth_lamp,           1,          1,         1922,           25,           0,          1,            1,           50
   211,          lightning_lamp,           1,          1,         1617,           25,           0,          1,            1,           50
   212,              water_lamp,           1,          1,         4200,           25,           0,          1,            1,           50
   213,              light_lamp,           1,          1,         4909,           25,           0,          1,            1,           50
   214,               dark_lamp,           1,          1,         4311,           25,           0,          1,            1,           50
   216,         porc._flowerpot,           1,          1,          194,           25,           0,          1,            1,           50
   217,         brass_flowerpot,           1,          1,          200,           25,           0,          1,            1,           50
   218,       earthen_flowerpot,           1,          1,          194,           25,           0,          1,            1,           50
   219,       ceramic_flowerpot,           1,          1,          194,           25,           0,          1,            1,           50
   220,        wooden_flowerpot,           1,          1,         1428,           25,           0,          1,            1,           50
   221,        arcane_flowerpot,           1,          1,         3900,           25,           0,          1,            1,           50
   222,      fighting_fish_tank,           1,          1,         1662,           25,           0,          1,            1,           50
   223,          river_aquarium,           1,          1,         2091,           25,           0,          1,            1,           50
   224,            bay_aquarium,           1,          1,         3912,           25,           0,          1,            1,           50
   225,           reef_aquarium,           1,          1,         2356,           25,           0,          1,            1,           50
   295,                 bonfire,           1,          1,         3073,           25,           0,          1,            1,           50
   314,        9-drawer_almirah,           1,          1,         6800,           25,           0,          1,            1,           50
   315,        6-drawer_almirah,           1,          1,         5202,           25,           0,          1,            1,           50
   316,        3-drawer_almirah,           1,          1,         3901,           25,           0,          1,            1,           50
   317,             bronze_rose,           1,          1,         4510,           25,           0,          1,            1,           50
   318,            crystal_rose,           1,          1,         4800,           25,           0,          1,            1,           50
   319,              shell_lamp,           1,          1,         1239,           25,           0,          1,            1,           50
   321,            mythril_bell,           1,          1,         2647,           25,           0,          1,            1,           50
   322,             horn_trophy,           1,          1,         2117,           25,           0,          1,            1,           50
   326,         yellow_hobby_bo,           1,          1,         2170,           25,           0,          1,            1,           50
   327,            red_hobby_bo,           1,          1,         2170,           25,           0,          1,            1,           50
   328,          black_hobby_bo,           1,          1,         2170,           25,           0,          1,            1,           50
   329,           blue_hobby_bo,           1,          1,         2170,           25,           0,          1,            1,           50
   330,          green_hobby_bo,           1,          1,         2170,           25,           0,          1,            1,           50
   331,            winged_altar,           1,          1,         2466,           25,           0,          1,            1,           50
   332,           winged_plaque,           1,          1,        19792,           25,           0,          1,            1,           50
   333,          winged_balance,           1,          1,        19639,           25,           0,          1,            1,           50
   343,              harp_stool,           1,          1,          789,           25,           0,          1,            1,           50
   348,           marble_plaque,           1,          1,         4910,           25,           0,          1,            1,           50
   349,          ryl._sqr._bunk,           1,          1,         4550,           25,           0,          1,            1,           50
   350,       rep._lgn._bedding,           1,          1,         4550,           25,           0,          1,            1,           50
   351,       fed._mrc._hammock,           1,          1,         4550,           25,           0,          1,            1,           50
   352,          half_partition,           1,          1,         5100,           25,           0,          1,            1,           50
   353,                  spence,           1,          1,         4000,           25,           0,          1,            1,           50
   354,               bookstack,           1,          1,         4000,           25,           0,          1,            1,           50
   355,             bread_crock,           1,          1,         4000,           25,           0,          1,            1,           50
   357,               partition,           1,          1,         2091,           25,           0,          1,            1,           50
   358,                credenza,           1,          1,         6857,           25,           0,          1,            1,           50
   359,                   bahut,           1,          1,          640,           25,           0,          1,            1,           50
   360,                   matka,           1,          1,          502,           25,           0,          1,            1,           50
   361,                gallipot,           1,          1,         2144,           25,           0,          1,            1,           50
   362,            fluoro-flora,           1,          1,         2117,           25,           0,          1,            1,           50
   363,            amigo_cactus,           1,          1,          265,           25,           0,          1,            1,           50
   364,            amiga_cactus,           1,          1,         1429,           25,           0,          1,            1,           50
   368,            san._tea_set,           1,          1,         2620,           25,           0,          1,            1,           50
   369,            bas._tea_set,           1,          1,         2091,           25,           0,          1,            1,           50
   370,            win._tea_set,           1,          1,         2091,           25,           0,          1,            1,           50
   371,          butterfly_cage,           1,          1,         3798,           25,           0,          1,            1,           50
   372,            cricket_cage,           1,          1,         3992,           25,           0,          1,            1,           50
   373,            glowfly_cage,           1,          1,         1356,           25,           0,          1,            1,           50
   374,                parclose,           1,          1,         2250,           25,           0,          1,            1,           50
   378,         blue_9d_almirah,           1,          1,         8670,           25,           0,          1,            1,           50
   379,         blue_6d_almirah,           1,          1,         6502,           25,           0,          1,            1,           50
   380,         blue_3d_almirah,           1,          1,         4876,           25,           0,          1,            1,           50
   381,        green_9d_almirah,           1,          1,         8670,           25,           0,          1,            1,           50
   382,        green_6d_almirah,           1,          1,         6502,           25,           0,          1,            1,           50
   383,        green_3d_almirah,           1,          1,         4876,           25,           0,          1,            1,           50
   384,       yellow_9d_almirah,           1,          1,         8670,           25,           0,          1,            1,           50
   385,       yellow_6d_almirah,           1,          1,         6502,           25,           0,          1,            1,           50
   386,       yellow_3d_almirah,           1,          1,         4876,           25,           0,          1,            1,           50
   387,        white_9d_almirah,           1,          1,         8670,           25,           0,          1,            1,           50
   388,        white_6d_almirah,           1,          1,         6502,           25,           0,          1,            1,           50
   389,        white_3d_almirah,           1,          1,         4876,           25,           0,          1,            1,           50
   390,            carmine_desk,           1,          1,         4000,           25,           0,          1,            1,           50
   391,           cerulean_desk,           1,          1,         1050,           25,           0,          1,            1,           50
   392,             myrtle_desk,           1,          1,         4000,           25,           0,          1,            1,           50
   393,               ecru_desk,           1,          1,         4000,           25,           0,          1,            1,           50
   394,        b._tarutaru_desk,           1,          1,         1443,           25,           0,          1,            1,           50
   395,        g._tarutaru_desk,           1,          1,         4876,           25,           0,          1,            1,           50
   396,        y._tarutaru_desk,           1,          1,         4986,           25,           0,          1,            1,           50
   397,        w._tarutaru_desk,           1,          1,         1028,           25,           0,          1,            1,           50
   398,        red_mahogany_bed,           1,          1,         2088,           25,           0,          1,            1,           50
   399,       blue_mahogany_bed,           1,          1,         1084,           25,           0,          1,            1,           50
   400,        gr._mahogany_bed,           1,          1,         1897,           25,           0,          1,            1,           50
   401,      yell._mahogany_bed,           1,          1,         4055,           25,           0,          1,            1,           50
   402,         blue_nobles_bed,           1,          1,         2447,           25,           0,          1,            1,           50
   403,        green_nobles_bed,           1,          1,         4523,           25,           0,          1,            1,           50
   404,         yel._nobles_bed,           1,          1,         1426,           25,           0,          1,            1,           50
   405,        white_nobles_bed,           1,          1,        12550,           25,           0,          1,            1,           50
   406,      b._tarutaru_screen,           1,          1,          414,           25,           0,          1,            1,           50
   407,      g._tarutaru_screen,           1,          1,         3102,           25,           0,          1,            1,           50
   408,      y._tarutaru_screen,           1,          1,         4380,           25,           0,          1,            1,           50
   409,      w._tarutaru_screen,           1,          1,         2883,           25,           0,          1,            1,           50
   410,         red_round_table,           1,          1,         4944,           25,           0,          1,            1,           50
   411,        blue_round_table,           1,          1,         4944,           25,           0,          1,            1,           50
   412,        green_rnd._table,           1,          1,         4944,           25,           0,          1,            1,           50
   413,       yellow_rnd._table,           1,          1,         4944,           25,           0,          1,            1,           50
   414,        white_rnd._table,           1,          1,         4944,           25,           0,          1,            1,           50
   416,               tomeshelf,           1,          1,         3427,           25,           0,          1,            1,           50
   417,           storage_hutch,           1,          1,         1525,           25,           0,          1,            1,           50
   418,           tidings_board,           1,          1,         6000,           25,           0,          1,            1,           50
   419,           leisure_table,           1,          1,         2729,           25,           0,          1,            1,           50
   420,           meadsweet_pot,           1,          1,         1334,           25,           0,          1,            1,           50
   421,          r._orchid_vase,           1,          1,         1131,           25,           0,          1,            1,           50
   422,         elshimo_pachira,           1,          1,         4065,           25,           0,          1,            1,           50
   423,            tavern_bench,           1,          1,         1010,           25,           0,          1,            1,           50
   424,          feasting_table,           1,          1,         2857,           25,           0,          1,            1,           50
   425,               girandola,           1,          1,         1372,           25,           0,          1,            1,           50
   427,            rococo_table,           1,          1,         3099,           25,           0,          1,            1,           50
   428,               semainier,           1,          1,         3146,           25,           0,          1,            1,           50
   429,        r._storm_lantern,           1,          1,         2047,           25,           0,          1,            1,           50
   430,        b._storm_lantern,           1,          1,         3811,           25,           0,          1,            1,           50
   431,        g._storm_lantern,           1,          1,         3427,           25,           0,          1,            1,           50
   432,        y._storm_lantern,           1,          1,         2475,           25,           0,          1,            1,           50
   433,        w._storm_lantern,           1,          1,         4594,           25,           0,          1,            1,           50
   434,         isula_sideboard,           1,          1,         1765,           25,           0,          1,            1,           50
   435,         jeunoan_dresser,           1,          1,         1500,           25,           0,          1,            1,           50
   436,         jeunoan_armoire,           1,          1,         2934,           25,           0,          1,            1,           50
   437,       floral_nightstand,           1,          1,         4878,           25,           0,          1,            1,           50
   439,            planus_table,           1,          1,        18287,           25,           0,          1,            1,           50
   440,              squat_desk,           1,          1,         4858,           25,           0,          1,            1,           50
   442,            gilded_chest,           1,          1,         3597,           25,           0,          1,            1,           50
   443,           aureous_chest,           1,          1,         3179,           25,           0,          1,            1,           50
   444,         luxurious_chest,           1,          1,         2546,           25,           0,          1,            1,           50
   445,       vaisselier_royale,           1,          1,         4875,           25,           0,          1,            1,           50
   446,            gilded_shelf,           1,          1,         1028,           25,           0,          1,            1,           50
   447,            mensa_lunata,           1,          1,         4820,           25,           0,          1,            1,           50
   448,                gueridon,           1,          1,         3418,           25,           0,          1,            1,           50
   449,          personal_table,           1,          1,         3020,           25,           0,          1,            1,           50
   450,             candelabrum,           1,          1,         4788,           25,           0,          1,            1,           50
   459,           candle_holder,           1,          1,         4619,           25,           0,          1,            1,           50
   460,          bakery_platter,           1,          1,         4838,           25,           0,          1,            1,           50
   472,           bkn._s.h._rod,           1,          1,         2698,           25,           0,          1,            1,           50
   473,        broken_comp._rod,           1,          1,         2114,           25,           0,          1,            1,           50
   482,        bkn._clothespole,           1,          1,         1968,           25,           0,          1,            1,           50
   483,        bkn._mithran_rod,           1,          1,         4643,           25,           0,          1,            1,           50
   484,          bkn._taru._rod,           1,          1,         3617,           25,           0,          1,            1,           50
   485,         bkn._willow_rod,           1,          1,         1230,           25,           0,          1,            1,           50
   486,            bkn._yew_rod,           1,          1,         2666,           25,           0,          1,            1,           50
   487,         bkn._bamboo_rod,           1,          1,         2398,           25,           0,          1,            1,           50
   488,          bkn._fast._rod,           1,          1,         2361,           25,           0,          1,            1,           50
   489,             bkn._lu_rod,           1,          1,         4977,           25,           0,          1,            1,           50
   490,         bkn._carbon_rod,           1,          1,         4635,           25,           0,          1,            1,           50
   491,          bkn._glass_rod,           1,          1,         1853,           25,           0,          1,            1,           50
   492,       drachenfall_water,           1,          1,         3434,           25,           0,          1,            1,           50
   493,           brass_canteen,           1,          1,         3892,           25,           0,          1,            1,           50
   496,         qdv._chestplate,           1,          1,         4703,           25,           1,          1,         5595,           50
   497,             gigas_socks,           1,          1,         3469,           25,           1,          1,         8965,           50
   498,         yagudo_necklace,           1,          1,         4015,           25,           1,          1,         7008,           50
   499,          gigas_necklace,           1,          1,         1210,           25,           1,          1,         8243,           50
   501,             quadav_helm,           1,          1,            5,           25,           1,          1,           60,           50
   503,                 sunsand,           1,          1,         3677,           25,           1,          1,         7205,           50
   505,               sheepskin,           1,          1,           19,           25,           1,          1,          228,           50
   506,          coeurl_leather,           1,          1,         1287,           25,           1,          1,        15444,           50
   507,             goblin_mail,           1,          1,         4482,           25,           1,          1,         6403,           50
   508,             goblin_helm,           1,          1,         4878,           25,           1,          1,         9635,           50
   509,                orc_mask,           1,          1,         3381,           25,           0,          1,            1,           50
   510,            goblin_armor,           1,          1,         1677,           25,           1,          1,         9742,           50
   511,             goblin_mask,           1,          1,         3619,           25,           1,          1,         7813,           50
   529,             luminicloth,           1,          1,          241,           25,           1,          1,         2892,           50
   532,         magicmart_flyer,           1,          1,         4139,           25,           1,          1,         9996,           50
   533,          derfland_humus,           1,          1,          800,           25,           0,          1,            1,           50
   534,          gausebit_grass,           1,          1,          200,           25,           1,          1,         2400,           50
   536,         adventurer_cpn.,           1,          1,         3063,           25,           0,          1,            1,           50
   544,            test_answers,           1,          1,         4760,           25,           0,          1,            1,           50
   546,           starfall_tear,           1,          1,          854,           25,           0,          1,            1,           50
   548,         tenshodo_invite,           1,          1,         3566,           25,           0,          1,            1,           50
   550,             steam_clock,           1,          1,           48,           25,           0,          1,            1,           50
   551,       bruised_starfruit,           1,          1,         2718,           25,           0,          1,            1,           50
   560,             zeruhn_soot,           1,          1,         1295,           25,           1,          1,         6859,           50
   564,         fingernail_sack,           1,          1,         2617,           25,           1,          1,         8901,           50
   565,              teeth_sack,           1,          1,         4905,           25,           1,          1,         5693,           50
   566,              goblin_cup,           1,          1,         1142,           25,           1,          1,         8403,           50
   568,              goblin_die,           1,          1,         1330,           25,           1,          1,         9077,           50
   572,              herb_seeds,           1,          1,           70,           25,           1,          1,          840,           50
   573,         vegetable_seeds,           1,          1,           70,           25,           1,          1,          840,           50
   574,             fruit_seeds,           1,          1,           80,           25,           1,          1,          960,           50
   575,             grain_seeds,           1,          1,           70,           25,           1,          1,          840,           50
   581,               starfruit,           1,          1,           24,           25,           0,          1,            1,           50
   596,        quadav_backplate,           1,          1,          126,           25,           1,          1,         1512,           50
   597,             mine_gravel,           1,          1,          126,           25,           0,          1,            1,           50
   605,                 pickaxe,           1,          1,           50,           25,           1,          1,         4950,           50
   606,             fetich_head,           1,          1,          194,           25,           0,          1,            1,           50
   607,            fetich_torso,           1,          1,          204,           25,           0,          1,            1,           50
   608,             fetich_arms,           1,          1,          200,           25,           0,          1,            1,           50
   609,             fetich_legs,           1,          1,          200,           25,           0,          1,            1,           50
   610,          san_dor._flour,           1,          1,           15,           25,           1,          1,          180,           50
   611,               rye_flour,           1,          1,            1,           25,           1,          1,           12,           50
   612,          kazham_peppers,           1,          1,           15,           25,           1,          1,          180,           50
   614,           mhaura_garlic,           1,          1,           50,           25,           1,          1,          240,           50
   615,          selbina_butter,           1,          1,           15,           25,           1,          1,          180,           50
   616,               pie_dough,           1,          1,           50,           25,           1,          1,          240,           50
   617,                  ginger,           1,          1,           31,           25,           1,          1,          372,           50
   618,               blue_peas,           1,          1,            7,           25,           1,          1,           84,           50
   619,                  popoto,           1,          1,           11,           25,           1,          1,          132,           50
   620,           tarutaru_rice,           1,          1,           15,           25,           1,          1,          180,           50
   621,          crying_mustard,           1,          1,            7,           25,           1,          1,           84,           50
   622,          dried_marjoram,           1,          1,           12,           25,           1,          1,          144,           50
   623,              bay_leaves,           1,          1,           25,           25,           1,          1,          300,           50
   624,             pamtam_kelp,           1,          1,            8,           25,           1,          1,           96,           50
   625,           apple_vinegar,           1,          1,           22,           25,           1,          1,          264,           50
   626,            black_pepper,           1,          1,           51,           25,           1,          1,          612,           50
   627,             maple_sugar,           1,          1,           25,           25,           1,          1,          120,           50
   628,                cinnamon,           1,          1,           51,           25,           1,          1,          612,           50
   629,             millioncorn,           1,          1,           12,           25,           1,          1,          144,           50
   630,            ogre_pumpkin,           1,          1,           24,           25,           1,          1,          288,           50
   631,              horo_flour,           1,          1,            9,           25,           1,          1,          108,           50
   632,             kukuru_bean,           1,          1,           30,           25,           1,          1,          360,           50
   633,               olive_oil,           1,          1,            3,           25,           1,          1,           36,           50
   635,         win._tea_leaves,           1,          1,            4,           25,           1,          1,           48,           50
   636,               chamomile,           1,          1,           26,           25,           1,          1,          312,           50
   637,               slime_oil,           1,          1,          250,           25,           1,          1,         3000,           50
   638,                    sage,           1,          1,           37,           25,           1,          1,          444,           50
   639,                chestnut,           1,          1,           30,           25,           1,          1,          360,           50
   640,              copper_ore,           1,          1,            3,           25,           1,          1,           36,           50
   641,                 tin_ore,           1,          1,           25,           25,           1,          1,          120,           50
   642,                zinc_ore,           1,          1,           25,           25,           1,          1,          300,           50
   643,                iron_ore,           1,          1,          150,           25,           1,          1,         1800,           50
   644,             mythril_ore,           1,          1,          250,           25,           1,          1,         3000,           50
   645,           darksteel_ore,           1,          1,          475,           25,           1,          1,         5700,           50
   646,              adaman_ore,           1,          1,          725,           25,           1,          1,         8700,           50
   647,          molybdenum_ore,           1,          1,         5000,           25,           1,          1,        60000,           50
   648,            copper_ingot,           1,          1,           30,           25,           1,          1,          360,           50
   649,            bronze_ingot,           1,          1,           19,           25,           1,          1,          228,           50
   650,             brass_ingot,           1,          1,           48,           25,           1,          1,          576,           50
   651,              iron_ingot,           1,          1,          600,           25,           1,          1,         7200,           50
   652,             steel_ingot,           1,          1,          750,           25,           1,          1,         9000,           50
   653,           mythril_ingot,           1,          1,         1250,           25,           1,          1,        15000,           50
   654,         darksteel_ingot,           1,          1,         2375,           25,           1,          1,        28500,           50
   655,            adaman_ingot,           1,          1,         3625,           25,           1,          1,        43500,           50
   656,               beastcoin,           1,          1,           25,           25,           1,          1,          120,           50
   657,             tama-hagane,           1,          1,          904,           25,           1,          1,        10848,           50
   658,          damascus_ingot,           1,          1,        10000,           25,           1,          1,       120000,           50
   659,               tin_ingot,           1,          1,           45,           25,           1,          1,          540,           50
   660,            bronze_sheet,           1,          1,           23,           25,           1,          1,          276,           50
   661,             brass_sheet,           1,          1,           60,           25,           1,          1,          720,           50
   662,              iron_sheet,           1,          1,          900,           25,           1,          1,        10800,           50
   663,           mythril_sheet,           1,          1,         1500,           25,           1,          1,        18000,           50
   664,         darksteel_sheet,           1,          1,         2850,           25,           1,          1,        34200,           50
   665,            adaman_sheet,           1,          1,         1397,           25,           1,          1,        16764,           50
   666,             steel_sheet,           1,          1,         1200,           25,           1,          1,        14400,           50
   667,        blsd._mtl._sheet,           1,          1,         1600,           25,           1,          1,        19200,           50
   668,              ocl._sheet,           1,          1,        16000,           25,           1,          1,       192000,           50
   669,             mlbd._sheet,           1,          1,         8100,           25,           1,          1,        97200,           50
   670,          aluminum_sheet,           1,          1,          822,           25,           1,          1,         9864,           50
   671,            silver_sheet,           1,          1,          341,           25,           1,          1,         4092,           50
   672,           bronze_scales,           1,          1,           26,           25,           1,          1,          312,           50
   673,            brass_scales,           1,          1,           71,           25,           1,          1,          852,           50
